FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
0.1272,1.04443e-07,0.00596646,19.86926,3.07521,2.5,-1.0,8.57635,16.32838,40.76954,48.205,-0.5,50.205,1.11948,1,KN
3.79563e-05,0.0119245,0.0688831,11.46267,8.23046,-3.0,-0.9,27.90689,10.2335,14.65875,1.255,1.3,16.255,0.0978374,0,KN
0.73365,0.86303,0.99991,113.39716,21.95779,0.09375,-0.6,9.50722,1.69329,7.69273,12.276,1.5,10.276,0.0978374,0,Ia
9.15804e-05,0.000159109,0.00490232,7.31977,4.86225,-3.0,-1.0,30.08578,20.32842,28.77355,40.299,0.5,50.299,1.4,0,KN
0.66917,0.69545,0.74584,11.87408,11.60551,2.15625,0.7,5.80409,5.10924,5.56839,41.242,0.7,28.242,0.14308,0,CC
0.59888,0.0202318,0.90418,6.70536,3.03071,-3.0,1.0,6.43274,3.43497,18.1357,42.289,1.5,-21.711,0.0765037,0,KN
0.98008,0.96091,0.99939,59.6974,24.00465,-3.0,0.0,2.03006,0.75074,2.51749,28.299,0.9,13.299,0.095674,0,Ia
0.10158,0.22017,0.83383,137.40698,20.76301,2.5,0.4,10.59919,2.79726,7.00631,-23.754,0.3,-20.754,0.12795,0,Ia
0.00380733,0.00191443,0.12264,17.04922,11.24035,-3.0,-0.7,19.22029,10.0482,20.89702,3.242,1.5,49.242,0.0914895,0,KN
0.13816,0.99991,0.17529,39.51563,6.30996,-3.0,1.0,8.34622,8.96967,0.0783206,46.246,1.3,-14.754,0.0654191,2,KN
0.77141,0.60967,0.97029,23.08722,16.90345,2.15625,0.2,5.68062,2.8403,7.26384,43.236,1.5,14.236,0.0874881,0,Ia
2.71349e-07,6.98463e-17,0.00124211,10.4519,8.28074,-3.0,-1.0,43.46398,23.78642,91.20873,3.241,0.5,11.241,1.36904,0,KN
7.11002e-19,7.48842e-18,7.02205e-06,49.1497,46.31016,-3.0,-1.0,109.38159,42.16023,104.2995,48.276,-0.5,48.276,0.07154,0,KN
0.99941,0.99789,0.99961,53.85223,16.93541,0.4375,1.0,0.50859,0.4501,0.75393,18.251,1.3,9.251,0.0765037,-9,CC
0.6332,0.64089,0.7161,8.95174,8.23203,-2.65625,0.9,6.12528,5.38181,6.05664,27.241,1.1,-11.759,0.12795,0,CC
0.99201,0.99374,0.99974,67.52663,54.49287,2.5,-0.1,0.8025,0.23779,0.73342,10.255,0.5,28.255,0.14308,0,CC
0.88679,0.36675,0.99998,94.23708,90.21429,0.09375,0.1,3.65553,0.31687,8.71675,19.241,-0.3,10.241,0.0782336,0,Ia
1.6898e-13,1.74307e-12,0.000783726,14.89536,8.23375,2.5,-1.0,74.64907,24.92079,69.6446,49.242,-0.5,49.242,1.30917,0,KN
0.99712,0.5676,0.99731,146.616,71.72464,2.5,0.9,1.14954,1.12677,6.71569,-2.723,-0.5,-16.723,0.11441,0,CC
